gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,No,Yes,57,No,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,No,Mailed check,90.19,5140.83,No
Female,0,No,Yes,7,Yes,No,Fiber optic,No internet service,No,Yes,Yes,No,No internet service,Two year,No,Credit card (automatic),106.39,744.73,No
Male,0,No,No,56,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,No,Yes,One year,Yes,Mailed check,79.58,4456.48,Yes
Male,0,No,Yes,67,Yes,No,No,Yes,No internet service,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,31.03,2079.01,No
Male,0,Yes,Yes,16,Yes,Yes,No,No,No,Yes,No internet service,No,No,Two year,No,Electronic check,29.48,471.68,Yes
Female,0,Yes,No,51,Yes,No,No,Yes,No,No,No internet service,No,No internet service,Month-to-month,No,Electronic check,22.8,1162.8,No
Male,1,No,Yes,12,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,74.71,896.52,No
Male,0,Yes,No,53,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),42.29,2241.37,Yes
Male,1,No,Yes,5,Yes,No,DSL,Yes,No internet service,Yes,Yes,No internet service,No,Two year,No,Bank transfer (automatic),91.44,457.2,No
Female,0,Yes,Yes,27,No,Yes,No,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),86.62,2338.7400000000002,No
Male,0,No,Yes,12,Yes,Yes,No,No internet service,No internet service,No,No,Yes,Yes,Month-to-month,No,Electronic check,49.81,597.72,No
Male,0,No,Yes,17,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No internet service,One year,Yes,Bank transfer (automatic),35.68,606.56,Yes
Male,1,Yes,No,6,Yes,No phone service,No,No,Yes,Yes,No,No,No internet service,One year,No,Bank transfer (automatic),28.24,169.44,No
Male,1,Yes,Yes,5,Yes,No,No,No internet service,No internet service,No internet service,No,No internet service,No,Month-to-month,No,Mailed check,91.73,458.65000000000003,No
Female,0,No,Yes,57,Yes,No,DSL,No internet service,Yes,No internet service,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),63.04,3593.2799999999997,No
